Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,13999.1949530956
Bulgaria,BGR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,608
Bulgaria,BGR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,7.64769654654833
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,22509038
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,18622421394.6133
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,827.330843486661
Burkina Faso,BFA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,748
Burkina Faso,BFA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.288261986140856
Burundi,BDI,"Population, total",SP.POP.TOTL,13321097
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,4036192552.88879
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,302.992505263552
Burundi,BDI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1274
Burundi,BDI,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.0698215770067585
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,519741
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2247003344.34242
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,4323.31362032709
Cabo Verde,CPV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,228
Cabo Verde,CPV,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.3085363671521
Cambodia,KHM,"Population, total",SP.POP.TOTL,17201724
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,39994532959.6074
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2325.03050040841
Cambodia,KHM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1904
Cambodia,KHM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.06878240808886
Cameroon,CMR,"Population, total",SP.POP.TOTL,27632771
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,44347206072.5513
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1604.87726954895
Cameroon,CMR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1604
Cameroon,CMR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.377591519866032
Canada,CAN,"Population, total",SP.POP.TOTL,38935934
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,2190411080134.32
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,56256.8007264015
Canada,CAN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,537
Canada,CAN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,14.7892997763968
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,71591
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,6660161212.01997
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,93030.7051447803
Cayman Islands,CYM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Cayman Islands,CYM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,5.00342221787655
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5098039
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2382618615.01694
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,467.359825026238
Central African Republic,CAF,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1343
Central African Republic,CAF,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.0632596180609838
Chad,TCD,"Population, total",SP.POP.TOTL,18455316
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,17828508289.6049
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,966.036468278568
Chad,TCD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,322
Chad,TCD,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.155239823582539
Channel Islands,CHI,"Population, total",SP.POP.TOTL,167215
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,11308272505.183
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,67627.1417347907
Channel Islands,CHI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Channel Islands,CHI,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..
Chile,CHL,"Population, total",SP.POP.TOTL,19553036
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,301226575540.242
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,15405.6165774073
Chile,CHL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1522
